"Enable HipChat notifications","Enable HipChat notifications"
"Log notifications","Log notifications"
"API Settings","API Settings"
"Token","Token"
"Room ID","Room ID"
"From name","From name"
"From name must be between 1 and 15 characters.","From name must be between 1 and 15 characters."
"Notification Settings","Notification Settings"
"<strong>A new order has been placed.</strong><br /> <strong>Order ID:</strong> %s, <strong>Name:</strong> %s %s, <strong>Amount:</strong> %s %s","<strong>A new order has been placed.</strong><br /> <strong>Order ID:</strong> %s, <strong>Name:</strong> %s %s, <strong>Amount:</strong> %s %s"
"Admin user login failed with username: %s","Admin user login failed with username: %s"
"A new customer account was created","A new customer account was created"
